iter	Passed	Remaining
0	1	113
1	2	140
2	3	121
3	4	108
4	6	131
5	8	131
6	8	119
7	10	117
8	11	116
9	12	110
10	13	105
11	16	122
12	21	146
13	22	138
14	23	131
15	23	124
16	25	123
17	26	120
18	27	115
19	27	111
20	28	106
21	29	102
22	29	99
23	30	97
24	31	93
25	31	90
26	32	87
27	33	85
28	33	82
29	34	80
30	34	77
31	35	75
32	36	73
33	36	71
34	37	69
35	38	68
36	39	67
37	40	65
38	40	63
39	41	62
40	42	60
41	42	58
42	43	57
43	43	55
44	44	54
45	44	52
46	45	51
47	45	49
48	46	48
49	46	46
50	47	45
51	47	43
52	48	42
53	48	41
54	49	40
55	49	38
56	50	37
57	50	36
58	50	35
59	51	34
60	52	33
61	53	32
62	53	31
63	54	30
64	55	29
65	55	28
66	56	27
67	56	26
68	57	25
69	57	24
70	58	23
71	58	22
72	59	21
73	59	20
74	60	20
75	60	19
76	61	18
77	61	17
78	62	16
79	62	15
80	63	14
81	63	13
82	63	13
83	64	12
84	64	11
85	65	10
86	65	9
87	66	9
88	69	8
89	70	7
90	70	7
91	71	6
92	72	5
93	72	4
94	73	3
95	74	3
96	74	2
97	74	1
98	75	0
99	75	0
