iter	Passed	Remaining
0	85	85281
1	86	43230
2	87	29146
3	88	22036
4	89	17733
5	89	14856
6	90	12810
7	90	11274
8	91	10076
9	92	9116
10	92	8360
11	93	7724
12	94	7170
13	94	6687
14	95	6267
15	95	5902
16	96	5577
17	96	5287
18	98	5063
19	99	4864
20	100	4668
21	100	4485
22	101	4324
23	102	4167
24	103	4019
25	103	3881
26	104	3755
27	104	3635
28	105	3525
29	105	3423
30	106	3340
31	107	3250
32	107	3163
33	108	3081
34	108	3002
35	109	2929
36	109	2860
37	110	2797
38	110	2734
39	112	2695
40	114	2671
41	115	2623
42	115	2580
43	116	2539
44	117	2493
45	118	2448
46	118	2406
47	119	2365
48	119	2326
49	121	2300
50	122	2273
51	122	2241
52	123	2206
53	124	2177
54	124	2144
55	125	2111
56	126	2093
57	128	2080
58	129	2058
59	130	2038
60	130	2015
61	131	1989
62	132	1964
63	132	1939
64	133	1916
65	133	1893
66	134	1873
67	135	1857
68	136	1836
69	136	1818
70	137	1797
71	137	1776
72	138	1756
73	138	1736
74	139	1717
75	139	1698
76	140	1688
77	141	1677
78	142	1664
79	143	1651
80	144	1637
81	145	1623
82	145	1605
83	145	1591
84	146	1578
85	147	1564
86	147	1550
87	148	1537
88	148	1524
89	149	1516
90	150	1505
91	151	1492
92	151	1479
93	152	1467
94	152	1454
95	153	1442
96	153	1430
97	154	1418
98	154	1406
99	155	1403
100	157	1400
101	158	1392
102	158	1384
103	159	1375
104	160	1367
105	161	1358
106	161	1349
107	162	1340
108	162	1331
109	163	1322
110	164	1313
111	164	1307
112	166	1304
113	166	1295
114	167	1286
115	167	1277
116	167	1267
117	168	1259
118	168	1250
119	169	1241
120	172	1250
121	172	1244
122	174	1244
123	176	1243
124	176	1237
125	177	1230
126	177	1222
127	178	1215
128	179	1208
129	179	1201
130	180	1195
131	180	1190
132	181	1185
133	182	1178
134	182	1171
135	183	1164
136	183	1158
137	184	1153
138	186	1153
139	187	1151
140	188	1145
141	188	1139
142	189	1133
143	189	1128
144	190	1122
145	190	1116
146	191	1110
147	191	1104
148	192	1098
149	192	1092
150	193	1087
151	193	1081
152	194	1075
153	194	1070
154	195	1065
155	195	1060
156	196	1055
157	197	1050
158	197	1046
159	198	1041
160	198	1035
161	199	1030
162	199	1025
163	200	1022
164	201	1020
165	202	1015
166	202	1011
167	203	1006
168	203	1001
169	204	996
170	204	992
171	205	987
172	205	983
173	206	978
174	206	974
175	207	969
176	207	965
177	208	963
178	209	959
179	209	955
180	210	950
181	210	946
182	211	942
183	211	938
184	212	933
185	212	929
186	212	925
187	213	921
188	214	920
189	215	919
190	216	916
191	216	912
192	217	908
193	217	904
194	218	900
195	218	897
196	219	893
197	219	889
198	220	886
199	220	882
200	221	879
201	221	875
202	222	872
203	222	868
204	223	865
205	223	861
206	224	858
207	224	854
208	224	851
209	225	848
210	226	845
211	226	842
212	227	839
213	227	835
214	227	832
215	228	829
216	229	828
217	230	826
218	231	824
219	231	821
220	232	818
221	232	815
222	233	812
223	233	809
224	234	806
225	234	803
226	234	800
227	235	797
228	235	794
229	236	791
230	236	788
231	237	785
232	237	782
233	238	779
234	238	777
235	239	774
236	239	771
237	240	769
238	240	766
239	241	763
240	241	760
241	242	758
242	242	755
243	242	752
244	243	750
245	243	747
246	245	747
